DISTRITO,CONCELHO,NOME CONCELHO,14 DIAS,POPULAÇÃO PORDATA
14,01,Abrantes,124.81,35254
01,01,Águeda,104.27,46034
09,01,Aguiar da Beira,42.59,4696
07,01,Alandroal,59.67,5028
01,02,Albergaria-a-Velha,157.44,24136
08,01,Albufeira,142.77,41326
15,01,Alcácer do Sal,171.14,11686
14,02,Alcanena,109.08,12835
10,01,Alcobaça,67.17,53598
15,02,Alcochete,96.71,19646
08,02,Alcoutim,363.31,2202
11,01,Alenquer,182.55,43824
04,01,Alfândega da Fé,372.89,4559
17,01,Alijó,328.21,10664
08,03,Aljezur,35.73,5597
02,01,Aljustrel,36.29,8266
15,03,Almada,262.11,169013
09,02,Almeida,85.06,5878
14,03,Almeirim,57.63,22558
02,02,Almodôvar,14.85,6736
14,04,Alpiarça,56.55,7073
12,01,Alter do Chão,125.87,3178
10,02,Alvaiázere,468.84,6612
02,03,Alvito,0.00,2470
11,15,Amadora,248.20,182915
13,01,Amarante,335.96,53280
03,01,Amares,143.47,18122
01,03,Anadia,117.31,27278
10,03,Ansião,16.57,12073
16,01,Arcos de Valdevez,28.64,20948
06,01,Arganil,0.00,11041
18,01,Armamar,51.89,5781
01,04,Arouca,96.20,20791
07,02,Arraiolos,43.25,6936
12,02,Arronches,105.63,2840
11,02,Arruda dos Vinhos,308.26,15247
01,05,Aveiro,158.31,78325
12,03,Avis,0.00,4248
11,03,Azambuja,115.14,22581
13,02,Baião,100.96,18820
03,02,Barcelos,213.99,116359
02,04,Barrancos,0.00,1640
15,04,Barreiro,96.97,75283
10,04,Batalha,176.08,15902
02,05,Beja,521.38,33565
05,01,Belmonte,577.85,6403
14,05,Benavente,115.10,30408
10,05,Bombarral,23.91,12546
07,03,Borba,665.39,6763
17,02,Boticas,39.77,5029
03,03,Braga,207.90,182299
04,02,Bragança,449.44,33597
03,04,Cabeceiras de Basto,185.14,15664
11,04,Cadaval,87.91,13650
10,06,Caldas da Rainha,77.33,51726
16,02,Caminha,144.88,15875
12,04,Campo Maior,50.69,7891
06,02,Cantanhede,125.57,35040
04,03,Carrazeda de Ansiães,0.00,5675
18,02,Carregal do Sal,21.55,9281
14,06,Cartaxo,138.70,23792
11,05,Cascais,316.37,213041
10,07,Castanheira de Pêra,0.00,2632
05,02,Castelo Branco,117.11,52090
01,06,Castelo de Paiva,180.52,15511
12,05,Castelo de Vide,0.00,2935
18,03,Castro Daire,57.65,13876
08,04,Castro Marim,111.89,6256
02,06,Castro Verde,28.79,6948
09,03,Celorico da Beira,71.91,6953
03,05,Celorico de Basto,125.93,19058
14,07,Chamusca,151.76,9225
17,03,Chaves,132.17,39344
18,04,Cinfães,419.46,18357
